,embed,encoder,fusion,decoder,total
mean,0.020536672676086425,0.09262523670959473,0.015783242361068726,0.028441485950469973,0.12363484146118163
std,0.0018714759651893942,0.0016405101230982462,0.00025553253480286236,0.0007129808586957402,0.0013788495272583036
