,embed,encoder,fusion,decoder,total
mean,0.038521099964141846,0.07201487558746339,0.011769276275634765,0.02515787018203735,0.09253150592041015
std,0.009271456737786921,0.007674152082303822,0.0017233904541003233,0.002285959893568063,0.007940768852146616
